Expanded Page Candidate,Primary Keyword,Original Production Decision,Effective Semantic Decision,Final Content Decision,Final URL,Final H1,Final Page Type,Final Content Status,Alignment Action,Final Menu Location,Canonical Candidate,Content File
Best Electric Dirt Bikes,best electric dirt bikes,Build now,Build now,Build now,/buying-guides/best-electric-dirt-bikes/,Best Electric Dirt Bikes by Rider and Use,Buying Guide,draft-data-needed,Standalone page,Buying Guides / SEO,Best Electric Dirt Bikes by Rider and Use,D:\Electric Dirt Bike\site-content\pages\best-electric-dirt-bikes.md
Electric Dirt Bike vs Surron,surron electric dirt bike,Build now,Build now,Build now,/blog/compare/surron-alternatives/,Surron Alternatives: Compare the Right Product Class,Blog / Comparison,draft-data-needed,Standalone page,Blog / SEO Only,Surron Alternatives: Compare the Right Product Class,D:\Electric Dirt Bike\site-content\pages\compare-surron.md
Fast Electric Dirt Bikes 40+ MPH,fastest electric dirt bike,Build now,Build now,Build now,/adult-dirt-bikes/fast/,Fast Electric Dirt Bikes,Collection / Guide,draft-data-needed,Standalone page,Header Dropdown,Fast Electric Dirt Bikes,D:\Electric Dirt Bike\site-content\pages\adult-fast.md
Ktm Electric Dirt Bike Alternatives,ktm electric dirt bike,Build now,Build now,Build now,/blog/compare/ktm-electric-alternatives/,KTM Electric Dirt Bike Alternatives,Blog / Comparison,draft-data-needed,Standalone page,Blog / SEO Only,KTM Electric Dirt Bike Alternatives,D:\Electric Dirt Bike\site-content\pages\compare-ktm.md
Electric Dirt Bikes Under $500,electric dirt bike under $500,Build now,Build now,Merge into parent/FAQ,/buying-guides/price/,Electric Dirt Bike Price & Budget Guide,Merged Section / FAQ,draft-data-needed,Merge into Price & Budget Guide,SEO Section / Not Standalone,Electric Dirt Bike Price Guide,D:\Electric Dirt Bike\site-content\pages\price-guide.md
"Electric Dirt Bikes Under $1,000",electric dirt bike for adults under $1000,Build now,Build now,Merge into parent/FAQ,/buying-guides/price/,Electric Dirt Bike Price & Budget Guide,Merged Section / FAQ,draft-data-needed,Merge into Price & Budget Guide,SEO Section / Not Standalone,Electric Dirt Bike Price Guide,D:\Electric Dirt Bike\site-content\pages\price-guide.md
Talaria Electric Dirt Bike Alternatives,talaria electric dirt bike,Build now,Build now,Build now,/blog/compare/talaria-alternatives/,"Talaria Alternatives: Compare the Product, Not the Name",Blog / Comparison,draft-data-needed,Standalone page,Blog / SEO Only,"Talaria Alternatives: Compare the Product, Not the Name",D:\Electric Dirt Bike\site-content\pages\compare-talaria.md
Electric Dirt Bike Price Guide,electric dirt bike price,Build now,Build now,Build now,/buying-guides/price/,Electric Dirt Bike Price & Budget Guide,Buying Guide,draft-data-needed,Standalone page,Buying Guides / SEO,Electric Dirt Bike Price Guide,D:\Electric Dirt Bike\site-content\pages\price-guide.md
48V Electric Dirt Bike Guide,48v electric dirt bike,Build later,Build later,Merge into parent/FAQ,/buying-guides/24v-36v-48v/,24V vs 36V vs 48V Electric Dirt Bikes,Merged Section / FAQ,draft-review-needed,Merge into 24V vs 36V vs 48V Guide,SEO Section / Not Standalone,24V vs 36V vs 48V Electric Dirt Bikes,D:\Electric Dirt Bike\site-content\pages\youth-voltage-guide.md
36V Electric Dirt Bike Guide,36v electric dirt bike,Build later,Build later,Merge into parent/FAQ,/buying-guides/24v-36v-48v/,24V vs 36V vs 48V Electric Dirt Bikes,Merged Section / FAQ,draft-review-needed,Merge into 24V vs 36V vs 48V Guide,SEO Section / Not Standalone,24V vs 36V vs 48V Electric Dirt Bikes,D:\Electric Dirt Bike\site-content\pages\youth-voltage-guide.md
"Electric Dirt Bikes Under $2,000",electric dirt bike under $2000,Build later,Build later,Merge into parent/FAQ,/buying-guides/price/,Electric Dirt Bike Price & Budget Guide,Merged Section / FAQ,draft-data-needed,Merge into Price & Budget Guide,SEO Section / Not Standalone,Electric Dirt Bike Price Guide,D:\Electric Dirt Bike\site-content\pages\price-guide.md
Electric Dirt Bike Range Guide,e ride pro ss 2.0 long range electric dirt bike,Build later,Build later,Build later,/buying-guides/range/,Electric Dirt Bike Range Guide,Technical Guide,draft-review-needed,Standalone page,Buying Guides / SEO,Electric Dirt Bike Range Guide,D:\Electric Dirt Bike\site-content\pages\range-guide.md
Electric Dirt Bike Motor and Power Guide,electric dirt bike motor,Build later,Build later,Build later,/buying-guides/motor-power/,Electric Dirt Bike Motor & Power Guide,Technical Guide,draft-review-needed,Standalone page,Buying Guides / SEO,Electric Dirt Bike Motor & Power Guide,D:\Electric Dirt Bike\site-content\pages\motor-power-guide.md
24V Electric Dirt Bike Guide,24v electric dirt bike,Build later,Build later,Merge into parent/FAQ,/buying-guides/24v-36v-48v/,24V vs 36V vs 48V Electric Dirt Bikes,Merged Section / FAQ,draft-review-needed,Merge into 24V vs 36V vs 48V Guide,SEO Section / Not Standalone,24V vs 36V vs 48V Electric Dirt Bikes,D:\Electric Dirt Bike\site-content\pages\youth-voltage-guide.md
Electric Dirt Bike Charging Guide,electric dirt bike charger,Build later,Build later,Build later,/buying-guides/charging/,Electric Dirt Bike Charging Guide,Support Guide,draft-review-needed,Standalone page,Buying Guides / SEO,Electric Dirt Bike Charging Guide,D:\Electric Dirt Bike\site-content\pages\charging-guide.md
Parts Guide,electric dirt bike parts,Build later,Build later,Build later,/support/parts-maintenance/,Electric Dirt Bike Parts & Maintenance,Support / Guide,draft-data-needed,Standalone page,Footer / Customer Support,Electric Dirt Bike Parts & Maintenance,D:\Electric Dirt Bike\site-content\pages\parts-maintenance.md
Electric Dirt Bike Laws and Riding Rules,are electric dirt bikes legal,Build later,Build later,Merge into parent/FAQ,/street-legal/,Are Electric Dirt Bikes Street Legal in the US?,Merged Section / FAQ,hold-legal-review,Merge into Street-Legal Guide,SEO Section / Not Standalone,Are Electric Dirt Bikes Street Legal in the US?,D:\Electric Dirt Bike\site-content\pages\street-legal.md
Repair Guide,electric dirt bike repair near me,Build later,Build later,Build later,/support/repair/,Electric Dirt Bike Repair & Service,Support / Guide,draft-data-needed,Standalone page,Footer / Customer Support,Electric Dirt Bike Repair & Service,D:\Electric Dirt Bike\site-content\pages\repair-service.md
Electric Dirt Bikes Under $450,electric dirt bikes under $450,Merge into parent/FAQ,Merge into parent/FAQ,Merge into parent/FAQ,/buying-guides/price/,Electric Dirt Bike Price & Budget Guide,Merged Section / FAQ,draft-data-needed,Merge into Price & Budget Guide,SEO Section / Not Standalone,Electric Dirt Bike Price Guide,D:\Electric Dirt Bike\site-content\pages\price-guide.md
Electric Dirt Bike Comparison Guide,dirt bike vs electric bike,Merge into parent/FAQ,Merge into parent/FAQ,Manual review before build,/buying-guides/electric-vs-gas-dirt-bike/,Electric vs Gas Dirt Bikes,Buying Guide / Comparison,draft-review-needed,Standalone page,Buying Guides / SEO,Electric vs Gas Dirt Bikes,D:\Electric Dirt Bike\site-content\pages\electric-vs-gas.md
Electric Dirt Bikes Under $700,electric dirt bike under $700,Merge into parent/FAQ,Merge into parent/FAQ,Merge into parent/FAQ,/buying-guides/price/,Electric Dirt Bike Price & Budget Guide,Merged Section / FAQ,draft-data-needed,Merge into Price & Budget Guide,SEO Section / Not Standalone,Electric Dirt Bike Price Guide,D:\Electric Dirt Bike\site-content\pages\price-guide.md
Electric Dirt Bikes Under $800,dirt bike electric under $800,Merge into parent/FAQ,Merge into parent/FAQ,Merge into parent/FAQ,/buying-guides/price/,Electric Dirt Bike Price & Budget Guide,Merged Section / FAQ,draft-data-needed,Merge into Price & Budget Guide,SEO Section / Not Standalone,Electric Dirt Bike Price Guide,D:\Electric Dirt Bike\site-content\pages\price-guide.md
"Electric Dirt Bikes Under $2,500",electric dirt bikes under $2500,Merge into parent/FAQ,Merge into parent/FAQ,Merge into parent/FAQ,/buying-guides/price/,Electric Dirt Bike Price & Budget Guide,Merged Section / FAQ,draft-data-needed,Merge into Price & Budget Guide,SEO Section / Not Standalone,Electric Dirt Bike Price Guide,D:\Electric Dirt Bike\site-content\pages\price-guide.md
"Electric Dirt Bikes Under $3,000",electric dirt bike for adults under $3000,Merge into parent/FAQ,Merge into parent/FAQ,Merge into parent/FAQ,/buying-guides/price/,Electric Dirt Bike Price & Budget Guide,Merged Section / FAQ,draft-data-needed,Merge into Price & Budget Guide,SEO Section / Not Standalone,Electric Dirt Bike Price Guide,D:\Electric Dirt Bike\site-content\pages\price-guide.md
Electric Dirt Bikes Under $600,electric dirt bikes under $600,Merge into parent/FAQ,Merge into parent/FAQ,Merge into parent/FAQ,/buying-guides/price/,Electric Dirt Bike Price & Budget Guide,Merged Section / FAQ,draft-data-needed,Merge into Price & Budget Guide,SEO Section / Not Standalone,Electric Dirt Bike Price Guide,D:\Electric Dirt Bike\site-content\pages\price-guide.md
Electric Dirt Bikes Under $300,electric dirt bikes under $300,Merge into parent/FAQ,Merge into parent/FAQ,Merge into parent/FAQ,/buying-guides/price/,Electric Dirt Bike Price & Budget Guide,Merged Section / FAQ,draft-data-needed,Merge into Price & Budget Guide,SEO Section / Not Standalone,Electric Dirt Bike Price Guide,D:\Electric Dirt Bike\site-content\pages\price-guide.md
Electric Dirt Bikes Under $200,electric dirt bike under $200,Merge into parent/FAQ,Merge into parent/FAQ,Merge into parent/FAQ,/buying-guides/price/,Electric Dirt Bike Price & Budget Guide,Merged Section / FAQ,draft-data-needed,Merge into Price & Budget Guide,SEO Section / Not Standalone,Electric Dirt Bike Price Guide,D:\Electric Dirt Bike\site-content\pages\price-guide.md
"Electric Dirt Bikes Under $1,500",electric dirt bikes under 1500,Merge into parent/FAQ,Merge into parent/FAQ,Merge into parent/FAQ,/buying-guides/price/,Electric Dirt Bike Price & Budget Guide,Merged Section / FAQ,draft-data-needed,Merge into Price & Budget Guide,SEO Section / Not Standalone,Electric Dirt Bike Price Guide,D:\Electric Dirt Bike\site-content\pages\price-guide.md
Electric Dirt Bikes Under $100,electric dirt bike under $100,Merge into parent/FAQ,Merge into parent/FAQ,Merge into parent/FAQ,/buying-guides/price/,Electric Dirt Bike Price & Budget Guide,Merged Section / FAQ,draft-data-needed,Merge into Price & Budget Guide,SEO Section / Not Standalone,Electric Dirt Bike Price Guide,D:\Electric Dirt Bike\site-content\pages\price-guide.md
Electric Dirt Bikes Under $400,electric dirt bikes under $400,Merge into parent/FAQ,Merge into parent/FAQ,Merge into parent/FAQ,/buying-guides/price/,Electric Dirt Bike Price & Budget Guide,Merged Section / FAQ,draft-data-needed,Merge into Price & Budget Guide,SEO Section / Not Standalone,Electric Dirt Bike Price Guide,D:\Electric Dirt Bike\site-content\pages\price-guide.md
Fat Tire Guide,fat tire electric dirt bike,Merge into parent/FAQ,Merge into parent/FAQ,Merge into parent/FAQ,/support/parts-maintenance/,Electric Dirt Bike Parts & Maintenance,Merged Section / FAQ,draft-data-needed,Merge into Parts & Maintenance,SEO Section / Not Standalone,Electric Dirt Bike Parts & Maintenance,D:\Electric Dirt Bike\site-content\pages\parts-maintenance.md
Electric Dirt Bikes Under $250,electric dirt bike under $250,Merge into parent/FAQ,Merge into parent/FAQ,Merge into parent/FAQ,/buying-guides/price/,Electric Dirt Bike Price & Budget Guide,Merged Section / FAQ,draft-data-needed,Merge into Price & Budget Guide,SEO Section / Not Standalone,Electric Dirt Bike Price Guide,D:\Electric Dirt Bike\site-content\pages\price-guide.md
Electric Dirt Bikes Under $350,electric dirt bike under $350,Merge into parent/FAQ,Merge into parent/FAQ,Merge into parent/FAQ,/buying-guides/price/,Electric Dirt Bike Price & Budget Guide,Merged Section / FAQ,draft-data-needed,Merge into Price & Budget Guide,SEO Section / Not Standalone,Electric Dirt Bike Price Guide,D:\Electric Dirt Bike\site-content\pages\price-guide.md
"Electric Dirt Bikes Under $5,000",best electric dirt bike under $5000,Merge into parent/FAQ,Merge into parent/FAQ,Merge into parent/FAQ,/buying-guides/price/,Electric Dirt Bike Price & Budget Guide,Merged Section / FAQ,draft-data-needed,Merge into Price & Budget Guide,SEO Section / Not Standalone,Electric Dirt Bike Price Guide,D:\Electric Dirt Bike\site-content\pages\price-guide.md
Electric Dirt Bikes Under $900,electric dirt bike for adults under $900,Merge into parent/FAQ,Merge into parent/FAQ,Merge into parent/FAQ,/buying-guides/price/,Electric Dirt Bike Price & Budget Guide,Merged Section / FAQ,draft-data-needed,Merge into Price & Budget Guide,SEO Section / Not Standalone,Electric Dirt Bike Price Guide,D:\Electric Dirt Bike\site-content\pages\price-guide.md
Electric Dirt Bike Financing Guide,electric dirt bike finance,Merge into parent/FAQ,Merge into parent/FAQ,Build later,/support/financing/,Electric Dirt Bike Financing,Support / Policy,draft-data-needed,Standalone page,Footer / Customer Support,Electric Dirt Bike Financing,D:\Electric Dirt Bike\site-content\pages\financing.md
"Electric Dirt Bikes Under $3,500",electric dirt bike under $3500,Merge into parent/FAQ,Merge into parent/FAQ,Merge into parent/FAQ,/buying-guides/price/,Electric Dirt Bike Price & Budget Guide,Merged Section / FAQ,draft-data-needed,Merge into Price & Budget Guide,SEO Section / Not Standalone,Electric Dirt Bike Price Guide,D:\Electric Dirt Bike\site-content\pages\price-guide.md
Street Legal Electric Dirt Bikes,electric street legal dirt bike,Manual review before build,Manual review before build,Manual review before build,/street-legal/,Are Electric Dirt Bikes Street Legal in the US?,Legal / Compliance Guide,hold-legal-review,Standalone page,Header Main,Are Electric Dirt Bikes Street Legal in the US?,D:\Electric Dirt Bike\site-content\pages\street-legal.md
Street Legal Dual-Sport Electric Dirt Bikes,dual sport electric dirt bike,Manual review before build,Manual review before build,Manual review before build,/street-legal/dual-sport/,Street-Legal Dual-Sport Electric Dirt Bikes,Legal / Product Guide,hold-product-eligibility,Standalone page,Header Dropdown,Street-Legal Dual-Sport Electric Dirt Bikes,D:\Electric Dirt Bike\site-content\pages\dual-sport.md
Yamaha Electric Dirt Bike Alternatives,yamaha electric dirt bike,Manual review before build,Manual review before build,Manual review before build,/blog/compare/yamaha-electric-dirt-bike/,Does Yamaha Make an Electric Dirt Bike?,Blog / Research,draft-review-needed,Standalone page,Blog / SEO Only,Does Yamaha Make an Electric Dirt Bike?,D:\Electric Dirt Bike\site-content\pages\compare-yamaha.md
Honda Electric Dirt Bike Alternatives,honda electric dirt bike,Manual review before build,Manual review before build,Manual review before build,/blog/compare/honda-electric-dirt-bike/,Does Honda Make an Electric Dirt Bike?,Blog / Research,draft-review-needed,Standalone page,Blog / SEO Only,Does Honda Make an Electric Dirt Bike?,D:\Electric Dirt Bike\site-content\pages\compare-honda.md
Segway Electric Dirt Bike Alternatives,segway electric dirt bike,Manual review before build,Manual review before build,Manual review before build,/blog/compare/segway-alternatives/,Segway Dirt eBike Alternatives,Blog / Comparison,draft-data-needed,Standalone page,Blog / SEO Only,Segway Dirt eBike Alternatives,D:\Electric Dirt Bike\site-content\pages\compare-segway.md
Cake Electric Dirt Bike Alternatives,cake electric dirt bike,Manual review before build,Manual review before build,Manual review before build,/blog/compare/cake-alternatives/,CAKE Electric Off-Road Alternatives,Blog / Comparison,draft-data-needed,Standalone page,Blog / SEO Only,CAKE Electric Off-Road Alternatives,D:\Electric Dirt Bike\site-content\pages\compare-cake.md
How to Register a Street Legal Electric Dirt Bike,do you need a license for an electric dirt bike,Manual review before build,Manual review before build,Manual review before build,/street-legal/registration-license/,How to Register an Electric Dirt Bike for Road Use,Legal / How-To,hold-legal-review,Standalone page,Header Dropdown,How to Register an Electric Dirt Bike for Road Use,D:\Electric Dirt Bike\site-content\pages\registration-guide.md
Kuberg Electric Dirt Bike Alternatives,kuberg electric dirt bike,Manual review before build,Manual review before build,Manual review before build,/blog/compare/kuberg-alternatives/,Kuberg Electric Dirt Bike Alternatives,Blog / Comparison,draft-data-needed,Standalone page,Blog / SEO Only,Kuberg Electric Dirt Bike Alternatives,D:\Electric Dirt Bike\site-content\pages\compare-kuberg.md
